/static/assets/win.mp3:1  Failed to load resource: the server responded with a status of 404 (Not Found)
 Moles updated, visible moles: 2, Game Time: 11.65s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.02s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.03s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.05s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.07s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.08s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.10s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.12s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.13s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.15s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.17s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.18s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.20s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.22s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.23s, Max Visible: 2, Max Appear Duration: 1520ms
 fast Mole disappeared at: (500, 200), Time: 1728401463125, Duration: 1533ms
 Moles updated, visible moles: 2, Game Time: 12.25s, Max Visible: 2, Max Appear Duration: 1520ms
 normal Mole appeared at: (300, 66.66666666666667), Time: 1728401463143, Game Time: 12.27s, Appear Duration: 2000ms
 Moles updated, visible moles: 1, Game Time: 12.27s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.28s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.30s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.32s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.33s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.35s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.37s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.38s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.40s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.42s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.43s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.45s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.47s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.48s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.50s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.52s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.53s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.55s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.57s, Max Visible: 2, Max Appear Duration: 1520ms
 fast Mole disappeared at: (100, 66.66666666666667), Time: 1728401463459, Duration: 1534ms
 Moles updated, visible moles: 2, Game Time: 12.58s, Max Visible: 2, Max Appear Duration: 1520ms
 normal Mole appeared at: (500, 66.66666666666667), Time: 1728401463476, Game Time: 12.60s, Appear Duration: 2000ms
 Moles updated, visible moles: 1, Game Time: 12.60s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.62s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.63s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.65s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.67s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.68s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.70s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.72s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.73s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.75s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.77s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.78s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.80s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.82s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.83s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.85s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.87s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.88s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.90s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.92s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.93s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.95s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.97s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.98s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.00s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.02s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.03s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.05s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.07s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.08s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.10s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.12s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.13s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.15s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.17s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.18s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.20s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.22s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.23s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.25s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.27s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.28s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.30s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.32s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.33s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.35s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.37s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.38s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.40s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.42s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.43s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.45s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.47s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.48s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.50s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.52s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.53s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.55s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.57s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.58s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.60s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.62s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.63s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.65s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.67s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.68s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.70s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.72s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.73s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.75s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.77s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.78s, Max Visible: 2, Max Appear Duration: 1520ms
 normal Mole disappeared at: (300, 66.66666666666667), Time: 1728401464676, Duration: 1533ms
 Moles updated, visible moles: 2, Game Time: 13.80s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 1, Game Time: 13.82s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 1, Game Time: 13.83s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 1, Game Time: 13.85s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 1, Game Time: 13.87s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 1, Game Time: 13.88s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 1, Game Time: 13.90s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 1, Game Time: 13.92s, Max Visible: 2, Max Appear Duration: 1520ms
 Power-up collected: freeze
 Moles updated, visible moles: 1, Game Time: 13.93s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 1, Game Time: 13.95s, Max Visible: 2, Max Appear Duration: 1520ms
 normal Mole appeared at: (100, 66.66666666666667), Time: 1728401464842, Game Time: 13.97s, Appear Duration: 2000ms
 Moles updated, visible moles: 1, Game Time: 13.97s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 13.98s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.00s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.02s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.03s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.05s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.07s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.08s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.10s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.12s, Max Visible: 2, Max Appear Duration: 1520ms
 normal Mole disappeared at: (500, 66.66666666666667), Time: 1728401465009, Duration: 1533ms
 Moles updated, visible moles: 2, Game Time: 14.13s, Max Visible: 2, Max Appear Duration: 1520ms
 fast Mole appeared at: (300, 200), Time: 1728401465026, Game Time: 14.15s, Appear Duration: 1000ms
 Moles updated, visible moles: 1, Game Time: 14.15s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.17s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.18s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.20s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.22s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.23s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.25s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.27s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.28s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.30s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.32s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.33s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.35s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.37s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.38s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.40s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.42s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.43s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.45s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.47s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.48s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.50s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.52s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.53s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.55s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.57s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.58s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.60s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.62s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.63s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.65s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.67s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.68s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.70s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.72s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.73s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.75s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.77s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.78s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.80s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.82s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.83s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.85s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.87s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.88s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.90s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.92s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.93s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.95s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.97s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 14.98s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.00s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.02s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.03s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.05s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.07s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.08s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.10s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.12s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.13s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.15s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.17s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.18s, Max Visible: 2, Max Appear Duration: 1520ms
 fast Mole hit at: (323, 199.1999969482422), Score: 15
 Moles updated, visible moles: 1, Game Time: 15.20s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 1, Game Time: 15.22s, Max Visible: 2, Max Appear Duration: 1520ms
 fast Mole appeared at: (500, 200), Time: 1728401466109, Game Time: 15.23s, Appear Duration: 1000ms
 Moles updated, visible moles: 1, Game Time: 15.23s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.25s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.27s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.28s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.30s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.32s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.33s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.35s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.37s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.38s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.40s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.42s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.43s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.45s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.47s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.48s, Max Visible: 2, Max Appear Duration: 1520ms
 normal Mole disappeared at: (100, 66.66666666666667), Time: 1728401466376, Duration: 1534ms
 Moles updated, visible moles: 2, Game Time: 15.50s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 1, Game Time: 15.52s, Max Visible: 2, Max Appear Duration: 1520ms
 normal Mole appeared at: (300, 333.33333333333337), Time: 1728401466409, Game Time: 15.53s, Appear Duration: 2000ms
 Moles updated, visible moles: 1, Game Time: 15.53s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.55s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.57s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.58s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.60s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.62s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.63s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.65s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.67s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.68s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.70s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.72s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.73s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.75s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.77s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.78s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.80s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.82s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.83s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.85s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.87s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.88s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.90s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.92s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.93s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.95s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.97s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 15.98s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 16.00s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 2, Game Time: 16.02s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 2, Game Time: 16.03s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 2, Game Time: 16.05s, Max Visible: 1, Max Appear Duration: 920ms
